iter	Passed	Remaining
209	6665	25074
210	6692	25025
211	6729	25014
212	6761	24983
213	6790	24941
214	6841	24981
215	6877	24962
216	6915	24952
217	6943	24908
218	6972	24866
219	6987	24775
220	7026	24766
221	7064	24757
222	7087	24695
223	7121	24672
224	7155	24645
225	7194	24638
226	7218	24580
227	7254	24563
228	7291	24548
229	7318	24499
230	7360	24502
231	7393	24473
232	7424	24440
233	7454	24402
234	7485	24367
235	7556	24463
236	7596	24455
237	7629	24426
238	7656	24378
239	7685	24336
240	7704	24265
241	7739	24242
242	7765	24192
243	7798	24163
244	7819	24096
245	7862	24097
246	7890	24053
247	7920	24015
248	7951	23982
249	7987	23963
250	8022	23940
251	8052	23900
252	8086	23874
253	8120	23849
254	8144	23794
255	8177	23764
256	8216	23753
257	8247	23720
258	8293	23726
259	8338	23733
260	8379	23724
261	8414	23700
262	8448	23674
263	8482	23647
264	8526	23649
265	8549	23592
266	8589	23581
267	8636	23588
268	8659	23532
269	8702	23529
270	8737	23505
271	8761	23449
272	8787	23400
273	8825	23384
274	8847	23323
275	8882	23301
276	8919	23282
277	8942	23223
278	8983	23216
279	9018	23190
280	9041	23133
281	9064	23078
282	9089	23028
283	9118	22989
284	9151	22958
285	9197	22961
286	9230	22930
287	9267	22911
288	9303	22888
289	9335	22856
290	9381	22856
291	9408	22811
292	9434	22764
293	9468	22736
294	9506	22718
295	9533	22673
296	9568	22648
297	9603	22622
298	9631	22581
299	9651	22520
300	9685	22491
301	9700	22420
302	9727	22377
303	9747	22317
304	9771	22265
305	9796	22218
306	9813	22153
307	9844	22117
308	9867	22066
309	9891	22015
310	9920	21978
311	9947	21936
312	9969	21882
313	9991	21828
314	10015	21779
315	10045	21744
316	10075	21709
317	10101	21665
318	10125	21615
319	10180	21633
320	10197	21569
321	10223	21526
322	10259	21503
323	10286	21462
324	10310	21415
325	10333	21364
326	10354	21310
327	10372	21250
328	10388	21187
329	10410	21136
330	10430	21080
331	10456	21039
332	10472	20977
333	10497	20932
334	10514	20872
335	10528	20806
336	10551	20759
337	10573	20708
338	10597	20663
339	10618	20612
340	10642	20566
341	10662	20513
342	10684	20465
343	10703	20411
344	10721	20355
345	10741	20302
346	10759	20247
347	10782	20202
348	10801	20147
349	10814	20083
350	10828	20022
351	10849	19973
352	10869	19922
353	10890	19874
354	10904	19812
355	10921	19756
356	10937	19700
357	10951	19639
358	10970	19588
359	10984	19527
360	11004	19479
361	11020	19422
362	11039	19372
363	11049	19306
364	11063	19247
365	11084	19201
366	11096	19139
367	11103	19069
368	11119	19013
369	11132	18954
370	11154	18911
371	11171	18858
372	11189	18809
373	11203	18752
374	11218	18697
375	11229	18635
376	11240	18574
377	11253	18518
378	11266	18460
379	11278	18401
380	11291	18345
381	11311	18299
382	11323	18242
383	11340	18192
384	11355	18138
385	11371	18088
386	11383	18031
387	11398	17979
388	11414	17928
389	11425	17870
390	11439	17817
391	11462	17778
392	11488	17744
393	11503	17693
394	11524	17651
395	11545	17610
396	11576	17583
397	11596	17540
398	11633	17523
399	11654	17482
400	11680	17448
401	11700	17405
402	11722	17365
403	11738	17316
404	11756	17272
405	11771	17222
406	11783	17168
407	11795	17114
408	11807	17061
409	11828	17020
410	11839	16967
411	11856	16921
412	11870	16871
413	11883	16820
414	11896	16769
415	11910	16719
416	11923	16669
417	11936	16619
418	11949	16570
419	11969	16529
420	11983	16480
421	11995	16430
422	12008	16380
423	12022	16333
424	12037	16286
425	12049	16235
426	12064	16189
427	12077	16140
428	12094	16097
429	12111	16055
430	12125	16008
431	12148	15972
432	12173	15940
433	12189	15897
434	12203	15851
435	12221	15808
436	12233	15760
437	12249	15717
438	12263	15671
439	12278	15626
440	12292	15582
441	12310	15541
442	12326	15498
443	12341	15454
444	12355	15410
445	12369	15364
446	12383	15320
447	12399	15278
448	12411	15230
449	12425	15187
450	12439	15143
451	12458	15104
452	12470	15058
453	12482	15011
454	12498	14970
455	12511	14925
456	12527	14884
457	12541	14842
458	12557	14800
459	12572	14758
460	12588	14718
461	12601	14674
462	12621	14638
463	12635	14596
464	12647	14551
465	12658	14506
466	12677	14468
467	12695	14431
468	12710	14390
469	12726	14350
470	12748	14318
471	12770	14285
472	12787	14247
473	12817	14223
474	12829	14180
475	12845	14140
476	12864	14104
477	12879	14064
478	12897	14028
479	12909	13985
480	12927	13949
481	12949	13916
482	12964	13876
483	12979	13837
484	12994	13798
485	13012	13761
486	13024	13719
487	13041	13683
488	13052	13640
489	13069	13602
490	13087	13567
491	13104	13530
492	13120	13492
493	13134	13453
494	13171	13437
495	13188	13401
496	13210	13370
497	13227	13333
498	13240	13293
499	13252	13252
500	13270	13217
501	13283	13177
502	13301	13142
503	13314	13103
504	13336	13072
505	13360	13044
506	13385	13016
507	13398	12976
508	13421	12947
509	13451	12923
510	13470	12890
511	13490	12858
512	13508	12823
513	13531	12794
514	13552	12763
515	13565	12724
516	13581	12687
517	13601	12656
518	13615	12618
519	13638	12589
520	13657	12556
521	13682	12529
522	13697	12493
523	13716	12459
524	13735	12427
525	13754	12395
526	13769	12358
527	13790	12327
528	13810	12295
529	13826	12261
530	13847	12230
531	13865	12197
532	13879	12160
533	13894	12125
534	13907	12087
535	13926	12055
536	13939	12018
537	13954	11983
538	13970	11949
539	13984	11912
540	13995	11874
541	14013	11841
542	14031	11809
543	14046	11774
544	14061	11739
545	14072	11701
546	14086	11665
547	14099	11629
548	14111	11592
549	14123	11555
550	14142	11524
551	14155	11488
552	14173	11456
553	14187	11421
554	14203	11388
555	14215	11351
556	14224	11313
557	14236	11277
558	14252	11243
559	14264	11208
560	14276	11171
561	14291	11138
562	14302	11101
563	14318	11068
564	14332	11034
565	14343	10998
566	14358	10965
567	14375	10933
568	14398	10906
569	14412	10872
570	14423	10836
571	14435	10801
572	14449	10767
573	14467	10736
574	14488	10709
575	14504	10676
576	14515	10641
577	14532	10610
578	14551	10580
579	14563	10546
580	14574	10510
581	14588	10477
582	14601	10444
583	14620	10414
584	14634	10381
585	14656	10354
586	14674	10324
587	14686	10290
588	14712	10266
589	14733	10238
590	14753	10209
591	14767	10177
592	14790	10151
593	14818	10128
594	14836	10098
595	14851	10067
596	14873	10040
597	14896	10013
598	14908	9980
599	14921	9947
600	14933	9914
601	14944	9880
602	14959	9848
603	14970	9815
604	14982	9781
605	14996	9750
606	15005	9715
607	15018	9682
608	15027	9648
609	15041	9616
610	15051	9582
611	15062	9549
612	15075	9517
613	15091	9487
614	15108	9458
615	15123	9427
616	15133	9394
617	15143	9360
618	15157	9329
619	15171	9298
620	15185	9267
621	15204	9239
622	15218	9209
623	15232	9178
624	15242	9145
625	15261	9117
626	15274	9086
627	15298	9062
628	15322	9037
629	15355	9018
630	15375	8991
631	15389	8961
632	15406	8932
633	15424	8904
634	15443	8876
635	15455	8845
636	15470	8816
637	15488	8788
638	15506	8760
639	15524	8732
640	15542	8704
641	15555	8674
642	15569	8644
643	15590	8618
644	15605	8588
645	15618	8558
646	15634	8529
647	15647	8499
648	15663	8471
649	15680	8443
650	15693	8413
651	15706	8383
652	15725	8356
653	15734	8324
654	15750	8296
655	15763	8265
656	15778	8237
657	15791	8207
658	15805	8178
659	15819	8149
660	15841	8124
661	15850	8093
662	15864	8063
663	15879	8035
664	15889	8004
665	15903	7975
666	15920	7948
667	15932	7918
668	15948	7890
669	15963	7862
670	15979	7834
671	15998	7808
672	16013	7780
673	16026	7751
674	16040	7723
675	16056	7695
676	16070	7667
677	16081	7637
678	16098	7610
679	16108	7580
680	16120	7551
681	16143	7527
682	16157	7498
683	16173	7471
684	16188	7444
685	16208	7419
686	16222	7390
687	16236	7362
688	16251	7335
689	16266	7308
690	16283	7281
691	16302	7255
692	16331	7234
693	16352	7210
694	16387	7191
695	16414	7169
696	16442	7147
697	16462	7122
698	16476	7095
699	16491	7067
700	16512	7042
701	16527	7015
702	16544	6989
703	16570	6967
704	16586	6940
705	16604	6914
706	16619	6887
707	16633	6860
708	16645	6832
709	16662	6805
710	16678	6779
711	16691	6751
712	16709	6725
713	16723	6698
714	16738	6672
715	16756	6646
716	16774	6620
717	16794	6595
718	16812	6570
719	16824	6542
720	16841	6516
721	16858	6491
722	16875	6465
723	16891	6439
724	16903	6411
725	16920	6385
726	16939	6361
727	16957	6335
728	16969	6308
729	16984	6282
730	17000	6256
731	17019	6231
732	17035	6205
733	17051	6179
734	17069	6154
735	17082	6127
736	17097	6101
737	17111	6074
738	17127	6049
739	17143	6023
740	17161	5998
741	17178	5972
742	17193	5947
743	17206	5920
744	17220	5894
745	17232	5867
746	17248	5841
747	17259	5814
748	17272	5788
749	17285	5761
750	17299	5735
751	17312	5709
752	17324	5682
753	17338	5656
754	17352	5630
755	17366	5605
756	17378	5578
757	17398	5554
758	17411	5528
759	17427	5503
760	17450	5480
761	17465	5455
762	17483	5430
763	17500	5405
764	17515	5380
765	17529	5354
766	17543	5329
767	17558	5304
768	17580	5281
769	17605	5258
770	17618	5232
771	17633	5207
772	17649	5183
773	17669	5159
774	17684	5134
775	17700	5109
776	17717	5085
777	17739	5061
778	17756	5037
779	17772	5012
780	17792	4989
781	17806	4963
782	17822	4939
783	17842	4915
784	17857	4890
785	17874	4866
786	17885	4840
787	17901	4816
788	17911	4790
789	17923	4764
790	17939	4740
791	17957	4715
792	17971	4691
793	17984	4665
794	17994	4640
795	18008	4615
796	18023	4590
797	18042	4567
798	18059	4543
799	18076	4519
800	18089	4494
801	18107	4470
802	18119	4445
803	18134	4420
804	18148	4396
805	18161	4371
806	18176	4347
807	18192	4322
808	18208	4298
809	18222	4274
810	18240	4250
811	18255	4226
812	18277	4203
813	18289	4179
814	18301	4154
815	18320	4131
816	18334	4106
817	18356	4084
818	18371	4060
819	18394	4037
820	18411	4014
821	18430	3991
822	18447	3967
823	18464	3943
824	18480	3920
825	18496	3896
826	18519	3874
827	18536	3850
828	18547	3825
829	18561	3801
830	18581	3778
831	18598	3755
832	18619	3732
833	18636	3709
834	18652	3685
835	18672	3663
836	18688	3639
837	18707	3616
838	18725	3593
839	18741	3569
840	18757	3546
841	18770	3522
842	18785	3498
843	18795	3474
844	18807	3449
845	18821	3426
846	18832	3401
847	18846	3378
848	18859	3354
849	18871	3330
850	18889	3307
851	18900	3283
852	18923	3261
853	18937	3237
854	18954	3214
855	18965	3190
856	18981	3167
857	19002	3144
858	19024	3122
859	19040	3099
860	19051	3075
861	19064	3052
862	19079	3028
863	19095	3005
864	19107	2982
865	19125	2959
866	19139	2935
867	19154	2912
868	19167	2889
869	19184	2866
870	19198	2843
871	19212	2820
872	19228	2797
873	19243	2774
874	19256	2750
875	19278	2728
876	19298	2706
877	19313	2683
878	19329	2660
879	19346	2638
880	19358	2614
881	19373	2591
882	19387	2568
883	19399	2545
884	19412	2522
885	19426	2499
886	19440	2476
887	19459	2454
888	19471	2431
889	19485	2408
890	19496	2385
891	19520	2363
892	19534	2340
893	19548	2317
894	19562	2295
895	19572	2271
896	19593	2249
897	19605	2226
898	19617	2203
899	19634	2181
900	19645	2158
901	19662	2136
902	19675	2113
903	19691	2091
904	19704	2068
905	19721	2046
906	19733	2023
907	19755	2001
908	19767	1978
909	19784	1956
910	19800	1934
911	19817	1912
912	19829	1889
913	19845	1867
914	19859	1844
915	19873	1822
916	19886	1800
917	19899	1777
918	19913	1755
919	19926	1732
920	19945	1710
921	19966	1689
922	19985	1667
923	19998	1644
924	20019	1623
925	20033	1600
926	20051	1579
927	20069	1557
928	20089	1535
929	20115	1514
930	20135	1492
931	20147	1469
932	20161	1447
933	20182	1426
934	20195	1403
935	20217	1382
936	20227	1360
937	20241	1337
938	20261	1316
939	20275	1294
940	20297	1272
941	20314	1250
942	20326	1228
943	20343	1206
944	20365	1185
945	20390	1163
946	20404	1141
947	20420	1120
948	20444	1098
949	20467	1077
950	20490	1055
951	20507	1034
952	20523	1012
953	20539	990
954	20557	968
955	20575	947
956	20594	925
957	20612	903
958	20625	881
959	20644	860
960	20659	838
961	20680	816
962	20690	794
963	20707	773
964	20725	751
965	20741	730
966	20758	708
967	20772	686
968	20785	664
969	20804	643
970	20818	621
971	20843	600
972	20861	578
973	20880	557
974	20899	535
975	20911	514
976	20923	492
977	20935	470
978	20950	449
979	20965	427
980	20985	406
981	21015	385
982	21035	363
983	21053	342
984	21074	320
985	21088	299
986	21110	278
987	21127	256
988	21152	235
989	21181	213
990	21197	192
991	21217	171
992	21226	149
993	21255	128
994	21274	106
995	21287	85
996	21304	64
997	21321	42
998	21338	21
999	21348	0
1066	377
988	31096	345
989	31118	314
990	31145	282
991	31173	251
992	31201	219
993	31235	188
994	31265	157
995	31292	125
996	31312	94
997	31345	62
998	31371	31
999	31406	0
