iter	Logloss
0	0.6301043117
1	0.5676062111
2	0.5227756439
3	0.474161678
4	0.4329818513
5	0.3932065892
6	0.3569785692
7	0.3212410309
8	0.2922432673
9	0.2634087516
10	0.2424045871
11	0.2173279997
12	0.2011023383
13	0.1826733421
14	0.1678039306
15	0.1513769678
16	0.1378404083
17	0.126492449
18	0.1179707839
19	0.1077558391
20	0.09945868146
21	0.09100944094
22	0.08446137883
23	0.07701409844
24	0.07256571323
25	0.06666652233
26	0.0625162604
27	0.05806582349
28	0.05377798949
29	0.04927689393
30	0.04573749037
31	0.04263806071
32	0.03962406537
33	0.03672824878
34	0.03410353171
35	0.03155477453
36	0.02947059723
37	0.02746165189
38	0.02576081871
39	0.02393933418
40	0.02264384681
41	0.0210401102
42	0.01969946538
43	0.0184412907
44	0.0173953812
45	0.01652014852
46	0.01585588989
47	0.01505931784
48	0.014290668
49	0.01364502843
50	0.01288521717
51	0.01218242401
52	0.01160352498
53	0.0111172926
54	0.01055264578
55	0.01005727034
56	0.00954508021
57	0.009104981262
58	0.008666197411
59	0.008274130516
60	0.007817623043
61	0.007432270819
62	0.007022390765
63	0.006680831354
64	0.006403740128
65	0.006076054203
66	0.005775616548
67	0.005560567975
68	0.00530953334
69	0.005080632794
70	0.004876214255
71	0.004660554054
72	0.004508857331
73	0.00437174683
74	0.004216715186
75	0.004089115335
76	0.003942025659
77	0.003831935431
78	0.00371382183
79	0.003583347007
80	0.003450146818
81	0.003322937986
82	0.003199172979
83	0.003089077682
84	0.003000944682
85	0.002915425733
86	0.002831160571
87	0.002734272644
88	0.002650203514
89	0.002574096446
90	0.002500854906
91	0.002420757363
92	0.00235253237
93	0.002293990936
94	0.002236939775
95	0.002163743828
96	0.002106388421
97	0.002049608901
98	0.001981325364
99	0.001938010025
100	0.001886977518
101	0.001843472632
102	0.001805927421
103	0.001771077452
104	0.001733792533
105	0.001694438698
106	0.001657321256
107	0.001626601552
108	0.001587643795
109	0.001549810206
110	0.001507123417
111	0.001475826772
112	0.001448382708
113	0.001413621834
114	0.001384097549
115	0.001358220706
116	0.001324908011
117	0.001296495845
118	0.001273770054
119	0.001249909358
120	0.001230403329
121	0.001210090392
122	0.001185460797
123	0.001166231025
124	0.001144630068
125	0.001125397301
126	0.001101578024
127	0.00108178328
128	0.001062265388
129	0.001044730763
130	0.001026434514
131	0.001007466762
132	0.0009858446469
133	0.0009697370363
134	0.0009520584752
135	0.00093983069
136	0.0009242805739
137	0.00091357268
138	0.000901949178
139	0.0008876381018
140	0.0008712710892
